entry_dt,exit_dt,side,result,pnl_pct
2024-08-02 15:15:00+00:00,2024-08-02 20:15:00+00:00,long,loss,-3.7627
2024-08-07 14:45:00+00:00,2024-08-07 17:15:00+00:00,long,loss,-3.1671
2024-08-08 12:45:00+00:00,2024-08-08 13:30:00+00:00,short,win,2.6948
2024-08-16 18:00:00+00:00,2024-08-16 19:15:00+00:00,short,loss,-3.0217
2024-08-18 00:45:00+00:00,2024-08-18 02:00:00+00:00,short,win,1.2687
2024-08-19 10:00:00+00:00,2024-08-19 11:45:00+00:00,long,win,1.9821
2024-08-21 18:30:00+00:00,2024-08-21 19:00:00+00:00,short,loss,-2.3003
2024-08-24 22:00:00+00:00,2024-08-24 23:45:00+00:00,long,win,1.945
2024-08-29 11:45:00+00:00,2024-08-29 12:30:00+00:00,short,loss,-1.5627
2024-08-30 15:00:00+00:00,2024-08-30 15:15:00+00:00,long,loss,-2.6425
2024-09-01 22:30:00+00:00,2024-09-02 00:45:00+00:00,long,loss,-2.1705
2024-09-11 14:00:00+00:00,2024-09-11 15:30:00+00:00,long,win,4.0096
2024-09-20 04:15:00+00:00,2024-09-20 08:30:00+00:00,short,win,3.4008
2024-09-20 13:15:00+00:00,2024-09-20 14:00:00+00:00,long,loss,-1.5763
2024-09-22 09:45:00+00:00,2024-09-22 12:15:00+00:00,long,win,0.9375
2024-09-24 14:30:00+00:00,2024-09-24 17:15:00+00:00,long,win,2.4082
2024-10-03 08:30:00+00:00,2024-10-03 13:15:00+00:00,long,loss,-1.773
2024-10-10 07:00:00+00:00,2024-10-10 07:30:00+00:00,short,win,0.8084
2024-10-10 14:45:00+00:00,2024-10-10 16:00:00+00:00,long,win,1.9701
2024-10-13 11:45:00+00:00,2024-10-13 13:00:00+00:00,long,win,0.8776
2024-10-13 15:00:00+00:00,2024-10-13 15:15:00+00:00,long,loss,-1.0247
2024-10-27 12:45:00+00:00,2024-10-27 13:00:00+00:00,short,loss,-0.6698
2024-10-28 07:30:00+00:00,2024-10-28 10:15:00+00:00,short,loss,-1.217
2024-10-28 19:30:00+00:00,2024-10-28 22:00:00+00:00,short,loss,-2.0569
2024-11-09 16:45:00+00:00,2024-11-09 17:00:00+00:00,long,loss,-0.7809
2024-11-21 03:30:00+00:00,2024-11-21 04:00:00+00:00,short,loss,-2.1163
2024-11-23 16:30:00+00:00,2024-11-23 17:00:00+00:00,long,loss,-1.2011
2024-11-25 09:30:00+00:00,2024-11-25 11:30:00+00:00,short,win,1.3031
2024-11-26 08:30:00+00:00,2024-11-26 11:00:00+00:00,long,loss,-2.269
2024-11-28 03:30:00+00:00,2024-11-28 10:00:00+00:00,long,loss,-1.85
2024-12-10 16:00:00+00:00,2024-12-10 16:30:00+00:00,long,loss,-2.9081
2024-12-13 15:15:00+00:00,2024-12-13 15:45:00+00:00,short,win,1.8019
2024-12-19 10:45:00+00:00,2024-12-19 14:30:00+00:00,short,win,2.1295
2024-12-22 15:00:00+00:00,2024-12-22 19:45:00+00:00,long,loss,-1.9322
2024-12-23 14:45:00+00:00,2024-12-23 15:00:00+00:00,long,loss,-2.4953
2024-12-25 10:30:00+00:00,2024-12-25 10:45:00+00:00,short,win,1.7095
2024-12-27 07:45:00+00:00,2024-12-27 08:15:00+00:00,long,win,3.1188
2024-12-30 14:00:00+00:00,2024-12-30 14:30:00+00:00,long,loss,-1.5441
2025-01-07 11:45:00+00:00,2025-01-07 14:30:00+00:00,long,loss,-1.1206
2025-01-19 02:30:00+00:00,2025-01-19 05:15:00+00:00,short,win,1.873
2025-01-19 20:00:00+00:00,2025-01-19 21:15:00+00:00,short,win,2.63
2025-01-28 21:00:00+00:00,2025-01-28 21:45:00+00:00,long,loss,-2.1571
2025-01-29 20:30:00+00:00,2025-01-30 04:45:00+00:00,short,loss,-3.1858
2025-01-31 15:45:00+00:00,2025-01-31 16:15:00+00:00,short,win,1.6917
